,id,date,hour,hostname,ip_address,sample_name,method_name,file_name,name,rt_min,area,height,usp_resolution,tailing,sst,numb,comment,created_at
68,69,2023-10-18,04:21:39,DESKTOP-QFL5IDO,10.0.4.15,Plat 1A S2-EVENT,Plat1A_PoroC18_50mm_S2_QC.amx,Plat 1A S2-EVENT_2023-10-18 05-22-41+01-00.csv,QC2,0.69,332.8806,415.7560,9.9900,1.50,PASS,4.00,['All peaks found'],2023-10-18T04:21:39.902248Z
69,70,2023-10-18,04:21:39,DESKTOP-QFL5IDO,10.0.4.15,Plat 1A S2-EVENT,Plat1A_PoroC18_50mm_S2_QC.amx,Plat 1A S2-EVENT_2023-10-18 05-22-41+01-00.csv,QC3,1.17,284.2098,243.8510,19.9100,1.50,PASS,4.00,['All peaks found'],2023-10-18T04:21:39.905297Z
70,71,2023-10-18,04:21:39,DESKTOP-QFL5IDO,10.0.4.15,Plat 1A S2-EVENT,Plat1A_PoroC18_50mm_S2_QC.amx,Plat 1A S2-EVENT_2023-10-18 05-22-41+01-00.csv,QC4,3.20,85.3611,70.8550,69.1900,1.70,PASS,4.00,['All peaks found'],2023-10-18T04:21:39.908037Z
71,72,2023-10-18,04:38:03,PC-CZC124813X,192.168.254.99,Plat 2A S2-EVENT,2A_S2_6mins_QC.amx,Plat 2A S2-EVENT 2023-10-18 05-39-17+01-00.csv,QC1,0.35,121.6524,94.7700,,1.30,PASS,4.00,['All peaks found'],2023-10-18T04:38:03.844604Z
72,73,2023-10-18,04:38:03,PC-CZC124813X,192.168.254.99,Plat 2A S2-EVENT,2A_S2_6mins_QC.amx,Plat 2A S2-EVENT 2023-10-18 05-39-17+01-00.csv,QC2,0.59,189.3890,243.3350,8.9500,1.30,PASS,4.00,['All peaks found'],2023-10-18T04:38:03.849200Z
73,74,2023-10-18,04:38:03,PC-CZC124813X,192.168.254.99,Plat 2A S2-EVENT,2A_S2_6mins_QC.amx,Plat 2A S2-EVENT 2023-10-18 05-39-17+01-00.csv,QC3,1.11,178.3793,152.5990,20.6000,1.20,PASS,4.00,['All peaks found'],2023-10-18T04:38:03.852666Z
74,75,2023-10-18,04:38:03,PC-CZC124813X,192.168.254.99,Plat 2A S2-EVENT,2A_S2_6mins_QC.amx,Plat 2A S2-EVENT 2023-10-18 05-39-17+01-00.csv,QC4,3.11,373.9781,276.2910,60.3900,1.20,PASS,4.00,['All peaks found'],2023-10-18T04:38:03.855720Z
75,76,2023-10-18,04:40:17,DESKTOP-QFL5IDO,10.0.4.15,Plat 2A S2-EVENT,Plat2A_AscC18_50mm_S2_QC.amx,Plat 2A S2-EVENT 2023-10-18 05-41-32+01-00.csv,QC1,0.34,218.8668,194.6450,,1.30,PASS,4.00,['All peaks found'],2023-10-18T04:40:17.820138Z
76,77,2023-10-18,04:40:17,DESKTOP-QFL5IDO,10.0.4.15,Plat 2A S2-EVENT,Plat2A_AscC18_50mm_S2_QC.amx,Plat 2A S2-EVENT 2023-10-18 05-41-32+01-00.csv,QC2,0.59,348.6795,494.5130,10.7500,1.30,PASS,4.00,['All peaks found'],2023-10-18T04:40:17.825188Z
77,78,2023-10-18,04:40:17,DESKTOP-QFL5IDO,10.0.4.15,Plat 2A S2-EVENT,Plat2A_AscC18_50mm_S2_QC.amx,Plat 2A S2-EVENT 2023-10-18 05-41-32+01-00.csv,QC3,0.91,297.8104,287.9610,14.4100,0.90,PASS,4.00,['All peaks found'],2023-10-18T04:40:17.828747Z
